"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"15:01:22 2017-February-14","36.23","GOOD","20.06034313","105.53422512","20.06049528","105.53523264","true","3.48","113.90","HARD"
"15:01:33 2017-February-14","49.67","GOOD","20.06051728","105.53536877","20.06065041","105.53628297","true","3.59","110.60","HARD"
"15:01:41 2017-February-14","51.55","GOOD","20.06066682","105.53641405","20.06082988","105.53749989","true","3.23","101.56","HARD"
"15:01:50 2017-February-14","49.14","GOOD","20.06084761","105.53764025","20.06097378","105.53854455","true","2.88","109.52","HARD"
"15:01:58 2017-February-14","49.23","GOOD","20.06099475","105.53867537","20.06122924","105.54021695","true","3.46","108.24","HARD"
"15:02:11 2017-February-14","47.00","GOOD","20.06124525","105.54034097","20.06137183","105.54119789","true","2.83","104.37","HARD"
"15:02:19 2017-February-14","49.75","GOOD","20.06138983","105.54132691","20.06159418","105.54278125","true","2.84","109.41","HARD"
