"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"14:44:04 2017-February-14","30.36","POOR","19.99337212","105.65671694","19.99316437","105.65572151","true","9.08","106.68","HARD-MEDIUM"
"14:44:11 2017-February-14","50.52","POOR","19.99316437","105.65572151","19.99285453","105.65480587","true","14.44","101.78","HARD-MEDIUM"
"14:44:19 2017-February-14","50.52","POOR","19.99285453","105.65480587","19.99221244","105.6539474","true","13.75","114.56","HARD-MEDIUM"
"14:44:26 2017-February-14","51.39","POOR","19.99221244","105.6539474","19.99158933","105.65324793","true","12.34","100.58","HARD-MEDIUM"
"14:44:54 2017-February-14","25.68","POOR","19.99087268","105.65247989","19.99015498","105.651823","true","8.91","105.06","HARD-MEDIUM"
"14:45:07 2017-February-14","28.86","POOR","19.99015498","105.651823","19.98949021","105.65113158","true","9.1","103.21","HARD-MEDIUM"
