"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"14:21:06 2017-February-14","20.97","GOOD","20.00534667","105.56854667","20.00596833","105.56854833","true","3.54","101.44","MEDIUM"
"14:21:18 2017-February-14","25.39","FAIR","20.00603167","105.56855500","20.00686833","105.56863000","true","4.25","100.58","MEDIUM"
"14:21:32 2017-February-14","24.34","FAIR","20.00693667","105.56863333","20.00803667","105.56865500","true","4.55","101.48","MEDIUM"
"14:21:51 2017-February-14","30.50","FAIR","20.00811500","105.56865667","20.00900500","105.56875333","true","5.26","107.09","MEDIUM"
"14:22:04 2017-February-14","27.26","FAIR","20.00907667","105.56875000","20.00985500","105.56877500","true","4.24","112.99","MEDIUM"
"14:22:22 2017-February-14","23.88","FAIR","20.01009333","105.56874000","20.01092667","105.56880500","true","4.09","100.29","MEDIUM"
"14:22:36 2017-February-14","26.65","FAIR","20.01099500","105.56881000","20.01169833","105.56926000","true","4.38","101.77","MEDIUM"
"14:22:49 2017-February-14","28.79","GOOD","20.01176500","105.56930833","20.01248000","105.56989000","true","3.59","106.28","MEDIUM"
