,Geographic,Sector,Size_Frame,Size_Inter,Weights,age,export,exporter,family_own,female_own,foreign_ow,geometry,gpsAccurac,gpsAltitud,Lat,Lon,innovative,leader,limited_li,node,number_cli,partnershi,product_re,product_ye,public_,region,sales_ex_1,sales_expo,sales_per_,sector_1,share_fore,share_sold,share_wome,size_,wt,years,rank,ID
0,Dhaka,Leather and Lather goods,0-9,0-9,1.75,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.39069000000006 23.71654000000007),50,0,23.71654,90.39069,0,1,0,Hide_Skin_Supplier,6,0,6300000,50,0,Dhaka,0,0,2155263.3,leather,0,0,0,Micro,1.42,50,10,0
1,Dhaka,Leather and Lather goods,0-9,0-9,1.75,6-10years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.38903000000005 23.71697000000006),16,0,23.71697,90.38903,1,0,0,Hide_Skin_Supplier,5,0,10000000,10,0,Dhaka,0,0,3123123,leather,0,0,0,Micro,1.42,10,10,1
2,Dhaka,Leather and Lather goods,0-9,0-9,1.75,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.38944000000004 23.71674000000007),12,0,23.71674,90.38944,0,1,0,Hide_Skin_Supplier,15,0,200000000,41,0,Dhaka,0,0,6887417,leather,0,0,0,Small,1,41,5,2
3,Dhaka,Leather and Lather goods,0-9,0-9,1.75,20+years,0,Non-exporter,0,male_owned,domestic_owned,POINT (90.39038000000005 23.71809000000008),16,0,23.71809,90.39038,0,0,0,Hide_Skin_Supplier,2,1,3800000,40,0,Dhaka,0,0,1900000,leather,0,0,0,Micro,1.136,40,10,3
4,Dhaka,Leather and Lather goods,Oct-49,Oct-49,2.066666667,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.39128000000005 23.71605000000005),16,0,23.71605,90.39128,0,0,0,Hide_Skin_Supplier,35,0,75000000,37,0,Dhaka,0,0,3303451.8,leather,0,0,0,Small,2.361111111,38,5,4
5,Dhaka,Leather and Lather goods,0-9,0-9,1.75,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.38951000000009 23.71691000000004),24.6,0,23.71691,90.38951,0,1,0,Hide_Skin_Supplier,15,0,1000000,46,0,Dhaka,0,0,557142.88,leather,0,0,0,Micro,1.136,46,10,5
6,Dhaka,Leather and Lather goods,Oct-49,0-9,2.066666667,16-20years,70,Exporter,1,male_owned,domestic_owned,POINT (90.39044000000007 23.71699000000007),24,0,23.71699,90.39044,0,0,0,Hide_Skin_Supplier,0,0,25000000,5,0,Dhaka,70,0,2529183,leather,0,30,0,Micro,1.888888889,17,10,6
7,Dhaka,Leather and Lather goods,Oct-49,0-9,2.066666667,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.38916000000006 23.71700000000004),26,0,23.717,90.38916,0,0,0,Hide_Skin_Supplier,2,0,80000000,30,0,Dhaka,0,0,10459927,leather,0,0,0,Micro,2.361111111,30,10,7
8,Dhaka,Leather and Lather goods,Oct-49,0-9,2.066666667,20+years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.39117000000005 23.71610000000004),27,0,23.7161,90.39117,0,1,0,Hide_Skin_Supplier,3,0,75000000,26,0,Dhaka,0,0,7204433.5,leather,0,0,0,Small,2.833333333,50,5,8
9,Dhaka,Footwear,0-9,0-9,1.67961165,6-10years,0,Non-exporter,1,male_owned,domestic_owned,POINT (90.40608000000003 23.72133000000002),23.434,0,23.72133,90.40608,1,0,0,Domestic_Production_House,10,0,35000000,8,0,Dhaka,0,0,3527132,footwear,0,0,0,Micro,1.339805825,10,10,9
