"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"14:48:30 2017-February-14","27.76","POOR","19.98469186","105.66191741","19.98453671","105.66289214","true","7.69","103.45","HARD-MEDIUM"
"14:48:41 2017-February-14","33.12","POOR","19.98453671","105.66289214","19.9843174","105.66386294","true","8.76","104.46","HARD-MEDIUM"
"14:48:52 2017-February-14","36.04","POOR","19.9843174","105.66386294","19.98381905","105.66478687","true","8.69","111.33","HARD-MEDIUM"
"14:49:01 2017-February-14","40.93","POOR","19.98381905","105.66478687","19.98334007","105.66561702","true","9.1","101.78","HARD-MEDIUM"
"14:49:13 2017-February-14","32.51","POOR","19.98334007","105.66561702","19.98285853","105.66647356","true","7.47","104.3","HARD-MEDIUM"
