"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"14:15:20 2017-February-14","15.68","FAIR","19.93981447","105.62851607","19.93981447","105.62851607","true","5.13","106.57","HARD"
"14:15:24 2017-February-14","22.23","POOR","19.93973207","105.62864726","19.93926712","105.62944890","true","6.45","106.40","HARD"
"14:18:12 2017-February-14","17.11","POOR","19.93828333","105.63160721","19.93785797","105.63343766","true","7.95","105.05","HARD"
