"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:08:06 2017-February-14","20.30","GOOD","20.03808167","105.53222667","20.03711000","105.53321000","true","2.94","102.05","MEDIUM"
"16:08:33 2017-February-14","20.80","GOOD","20.03706000","105.53324000","20.03618500","105.53398167","true","3.93","105.14","MEDIUM"
"16:08:57 2017-February-14","21.44","GOOD","20.03615833","105.53402833","20.03553333","105.53462167","true","3.74","100.16","MEDIUM"
"16:09:13 2017-February-14","24.59","GOOD","20.03548500","105.53466333","20.03466833","105.53549833","true","3.76","104.06","MEDIUM"
"16:09:32 2017-February-14","23.85","GOOD","20.03462500","105.53554500","20.03422833","105.53637833","true","3.49","106.33","MEDIUM"
"16:09:47 2017-February-14","23.20","POOR","20.03419500","105.53645000","20.03422167","105.53784000","true","6.35","103.06","MEDIUM"
"16:10:11 2017-February-14","27.45","FAIR","20.03423500","105.53791000","20.03439333","105.53920667","true","4.78","104.58","MEDIUM"
"16:10:30 2017-February-14","20.79","GOOD","20.03439333","105.53927500","20.03467667","105.54215000","true","3.98","104.40","MEDIUM"
"16:12:35 2017-February-14","28.73","FAIR","20.03468000","105.54221500","20.03425000","105.54354333","true","4.66","102.30","MEDIUM"
"16:12:54 2017-February-14","34.42","POOR","20.03420167","105.54362000","20.03357667","105.54472833","true","6.18","108.21","MEDIUM"
"16:13:08 2017-February-14","28.71","FAIR","20.03351000","105.54481833","20.03270333","105.54635833","true","5.29","102.24","MEDIUM"
"16:13:32 2017-February-14","23.31","GOOD","20.03268667","105.54639833","20.03219333","105.54733500","true","3.43","100.04","MEDIUM"
"16:13:52 2017-February-14","25.91","GOOD","20.03215667","105.54739000","20.03178667","105.54819667","true","3.71","101.25","MEDIUM"
