"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"08:52:43 2017-April-27","46.01","POOR","20.14864679","105.67595123","20.14942794","105.67543994","true","9.26","101.67","SUV"
"08:52:52 2017-April-27","43.43","POOR","20.14942794","105.67543994","20.15025335","105.67491322","true","11.44","106.69","SUV"
"08:53:03 2017-April-27","34.12","POOR","20.15025335","105.67491322","20.15106505","105.67442657","true","12.78","103.26","SUV"
"08:53:17 2017-April-27","28.19","POOR","20.15106505","105.67442657","20.15199511","105.67405349","true","11.35","110.1","SUV"
"08:53:27 2017-April-27","39.3","POOR","20.15199511","105.67405349","20.15291062","105.67368468","true","9.26","108.44","SUV"
"08:53:37 2017-April-27","38.15","POOR","20.15291062","105.67368468","20.15379755","105.6732878","true","9.8","106.6","SUV"
"08:53:49 2017-April-27","34.29","POOR","20.15379755","105.6732878","20.15413899","105.67235305","true","9.23","104.78","SUV"
"08:54:00 2017-April-27","36.31","POOR","20.15413899","105.67235305","20.15420127","105.67131621","true","10.31","108.62","SUV"
"08:54:10 2017-April-27","37.53","POOR","20.15420127","105.67131621","20.15439154","105.6703232","true","10.24","105.93","SUV"
"08:54:21 2017-April-27","35.87","POOR","20.15439154","105.6703232","20.15455897","105.66930606","true","10.87","107.94","SUV"
"08:54:32 2017-April-27","34.15","POOR","20.15455897","105.66930606","20.15472652","105.66832328","true","8.76","104.41","SUV"
"08:54:46 2017-April-27","26.03","POOR","20.15472652","105.66832328","20.15511573","105.66740178","true","8.67","105.54","SUV"
"08:54:57 2017-April-27","35.2","POOR","20.15511573","105.66740178","20.15580804","105.66663022","true","8.76","111.27","SUV"
"08:55:06 2017-April-27","43.95","POOR","20.15580804","105.66663022","20.15654011","105.66592614","true","8.84","109.48","SUV"
"08:55:15 2017-April-27","42","POOR","20.15654011","105.66592614","20.15728338","105.66534167","true","10.69","102.49","SUV"
"08:55:25 2017-April-27","37.48","POOR","20.15728338","105.66534167","20.15815493","105.66491302","true","10.53","106.38","SUV"
"08:55:33 2017-April-27","44.66","POOR","20.15815493","105.66491302","20.1590411","105.6647137","true","9.55","100.29","SUV"
"08:55:43 2017-April-27","36.88","POOR","20.1590411","105.6647137","20.15992322","105.66449258","true","8.47","100.35","SUV"
"08:55:55 2017-April-27","31.68","POOR","20.15992322","105.66449258","20.16029189","105.66357074","true","10.22","104.66","SUV"
"08:56:08 2017-April-27","27.94","POOR","20.16029189","105.66357074","20.16076032","105.66275284","true","7.54","100","SUV"
"08:56:20 2017-April-27","31.16","POOR","20.16076032","105.66275284","20.16159549","105.66219946","true","7.25","109.07","SUV"
"08:56:30 2017-April-27","38.43","POOR","20.16159549","105.66219946","20.16243079","105.66164299","true","8.94","109.25","SUV"
"08:56:39 2017-April-27","41.3","POOR","20.16243079","105.66164299","20.16319006","105.66108618","true","11.21","102.24","SUV"
"08:56:49 2017-April-27","39.69","POOR","20.16319006","105.66108618","20.16399422","105.66043214","true","10.29","112.25","SUV"
"08:57:00 2017-April-27","35.55","POOR","20.16399422","105.66043214","20.16476997","105.65977056","true","11.08","110.27","SUV"
"08:57:10 2017-April-27","36.73","POOR","20.16476997","105.65977056","20.16550787","105.65915801","true","9.03","103.8","SUV"
"08:57:19 2017-April-27","42.39","POOR","20.16550787","105.65915801","20.16631044","105.6585722","true","11.15","107.91","SUV"
"08:57:28 2017-April-27","44.09","POOR","20.16631044","105.6585722","20.16713685","105.65800047","true","9.39","109.28","SUV"
"08:57:37 2017-April-27","44.15","POOR","20.16713685","105.65800047","20.16791465","105.65735154","true","11.79","109.62","SUV"
"08:57:45 2017-April-27","45.7","POOR","20.16791465","105.65735154","20.16866148","105.656798","true","11.05","100.92","SUV"
"08:57:53 2017-April-27","48.98","POOR","20.16866148","105.656798","20.16950671","105.65624186","true","10.69","110.16","SUV"
"08:58:01 2017-April-27","46.51","POOR","20.16950671","105.65624186","20.17030307","105.65573324","true","10.01","102.95","SUV"
"08:58:10 2017-April-27","40.47","POOR","20.17030307","105.65573324","20.1710908","105.65525833","true","10.9","100.35","SUV"
"08:58:23 2017-April-27","28.64","POOR","20.1710908","105.65525833","20.1719155","105.65482968","true","8.09","101.7","SUV"
"08:58:34 2017-April-27","32.16","POOR","20.1719155","105.65482968","20.17277967","105.65450789","true","8.09","101.41","SUV"
"08:58:44 2017-April-27","39.05","POOR","20.17277967","105.65450789","20.17369715","105.6541375","true","9.81","108.7","SUV"
