"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"10:46:34 2017-April-27","22.31","POOR","20.11381114","105.67738378","20.11363667","105.67837813","true","13.76","105.76","SUV"
"10:46:48 2017-April-27","26.07","POOR","20.11363667","105.67837813","20.1134301","105.67933987","true","13.19","103.14","SUV"
"10:47:03 2017-April-27","24.1","POOR","20.1134301","105.67933987","20.11328639","105.68029775","true","15.32","101.42","SUV"
"10:47:17 2017-April-27","24.9","POOR","20.11328639","105.68029775","20.11315865","105.68124491","true","13.22","100.05","SUV"
"10:47:31 2017-April-27","26.05","POOR","20.11315865","105.68124491","20.1130729","105.68221956","true","13.98","102.36","SUV"
"10:47:45 2017-April-27","27.25","POOR","20.1130729","105.68221956","20.11258797","105.68308624","true","16.09","105.34","SUV"
"10:48:00 2017-April-27","26.08","POOR","20.11258797","105.68308624","20.11207194","105.68395033","true","13.74","106.9","SUV"
"10:48:15 2017-April-27","25.76","POOR","20.11207194","105.68395033","20.11205656","105.68492901","true","13.67","102.36","SUV"
"10:48:29 2017-April-27","25.94","POOR","20.11205656","105.68492901","20.11227713","105.68587608","true","12.15","102","SUV"
"10:48:43 2017-April-27","26.64","POOR","20.11227713","105.68587608","20.11251257","105.68682348","true","12.27","102.44","SUV"
"10:49:01 2017-April-27","20.41","POOR","20.11251257","105.68682348","20.11215349","105.68770283","true","11.6","100.18","SUV"
"10:49:16 2017-April-27","24.05","POOR","20.11215349","105.68770283","20.11182572","105.6886328","true","12.05","103.8","SUV"
"10:49:30 2017-April-27","26.98","POOR","20.11182572","105.6886328","20.11168335","105.68962061","true","11.94","104.49","SUV"
"10:49:44 2017-April-27","26.59","POOR","20.11168335","105.68962061","20.11166189","105.69062979","true","11.78","105.56","SUV"
"10:50:00 2017-April-27","25.13","POOR","20.11166189","105.69062979","20.11105437","105.6914057","true","10.8","105.39","SUV"
"10:50:16 2017-April-27","22.94","POOR","20.11105437","105.6914057","20.11033315","105.69199797","true","10.01","101.05","SUV"
"10:50:30 2017-April-27","26.55","POOR","20.11033315","105.69199797","20.10959073","105.69258629","true","11.11","102.67","SUV"
