hhid,sector,zone,hhweight,hhsize,food_tot_pc,food_purch_pc,year,indweight
10001,"1. URBAN","4. SOUTH EAST",11898.656886349,6,66134.52,66134.52,2016,71391.94
10002,"1. URBAN","4. SOUTH EAST",11898.656886349,5,154360.4,154360.4,2016,59493.29
10003,"1. URBAN","4. SOUTH EAST",11898.656886349,6,72695.84,72465.79,2016,71391.94
10004,"1. URBAN","4. SOUTH EAST",11898.656886349,4,90533.04,90533.04,2016,47594.63
10005,"1. URBAN","4. SOUTH EAST",11898.656886349,7,59554.59,59357.41,2016,83290.6
10008,"1. URBAN","4. SOUTH EAST",11898.656886349,7,116473.5,116473.5,2016,83290.6
10009,"2. RURAL","4. SOUTH EAST",11898.656886349,6,117177.5,117177.5,2016,71391.94
10010,"1. URBAN","4. SOUTH EAST",11898.656886349,4,193520.7,193520.7,2016,47594.63
10011,"2. RURAL","4. SOUTH EAST",11332.054177475,6,59874.34,58834.53,2016,67992.33
10012,"2. RURAL","4. SOUTH EAST",11332.054177475,7,75982.15,60326.8,2016,79324.38
10013,"2. RURAL","4. SOUTH EAST",11332.054177475,4,78670.54,75541.96,2016,45328.21
10014,"2. RURAL","4. SOUTH EAST",11332.054177475,2,103894.6,103434.6,2016,22664.11
10015,"2. RURAL","4. SOUTH EAST",11332.054177475,1,114321.2,93342.34,2016,11332.05
10016,"2. RURAL","4. SOUTH EAST",11332.054177475,6,108977.8,92490.49,2016,67992.33
10017,"2. RURAL","4. SOUTH EAST",11332.054177475,4,118860,102388,2016,45328.21
10018,"2. RURAL","4. SOUTH EAST",11332.054177475,5,61520.57,43285.44,2016,56660.27
10019,"2. RURAL","4. SOUTH EAST",11332.054177475,8,44619.48,44619.48,2016,90656.43
10021,"2. RURAL","4. SOUTH EAST",3525.5279663256,4,137702,59051.79,2016,14102.11
10022,"2. RURAL","4. SOUTH EAST",3525.5279663256,5,93557.76,37991.29,2016,17627.64
10023,"2. RURAL","4. SOUTH EAST",3525.5279663256,6,96021.69,71292.95,2016,21153.17
10024,"2. RURAL","4. SOUTH EAST",3525.5279663256,2,69039.22,55923.21,2016,7051.056
10025,"2. RURAL","4. SOUTH EAST",3525.5279663256,5,43565.1,35116.68,2016,17627.64
10027,"2. RURAL","4. SOUTH EAST",3525.5279663256,3,81942.51,51340.37,2016,10576.58
