hhid,sector,zone,hhweight,hhsize,food_tot_pc,food_purch_pc,year,indweight
10028,"2. RURAL","4. SOUTH EAST",3525.5279663256,1,75984.52,,2016,3525.528
10029,"2. RURAL","4. SOUTH EAST",3525.5279663256,4,46088,30015.19,2016,14102.11
10030,"2. RURAL","4. SOUTH EAST",3525.5279663256,7,73555.46,31360.2,2016,24678.7
10031,"1. URBAN","4. SOUTH EAST",8385.7200913315,5,58973.57,58789.54,2016,41928.6
10032,"1. URBAN","4. SOUTH EAST",8385.7200913315,3,78648.8,78342.09,2016,25157.16
10033,"1. URBAN","4. SOUTH EAST",8385.7200913315,2,151046.8,137166.4,2016,16771.44
10034,"1. URBAN","4. SOUTH EAST",8385.7200913315,9,58168.25,58066.02,2016,75471.48
10035,"1. URBAN","4. SOUTH EAST",8385.7200913315,6,73246.23,73246.23,2016,50314.32
10036,"1. URBAN","4. SOUTH EAST",8385.7200913315,7,93381.24,93381.24,2016,58700.04
10037,"1. URBAN","4. SOUTH EAST",8385.7200913315,2,72348.21,72118.17,2016,16771.44
10038,"1. URBAN","4. SOUTH EAST",8385.7200913315,9,40687.45,40687.45,2016,75471.48
10039,"2. RURAL","4. SOUTH EAST",8385.7200913315,3,55584.5,45666.02,2016,25157.16
10040,"1. URBAN","4. SOUTH EAST",8385.7200913315,1,162031,162031,2016,8385.72
10041,"1. URBAN","4. SOUTH EAST",9065.64334198,4,94442.09,94442.09,2016,36262.57
10042,"1. URBAN","4. SOUTH EAST",9065.64334198,1,367459,367354.7,2016,9065.644
10043,"1. URBAN","4. SOUTH EAST",9065.64334198,4,102756.6,102526.5,2016,36262.57
10044,"1. URBAN","4. SOUTH EAST",9065.64334198,7,70698.95,70140.27,2016,63459.5
10045,"1. URBAN","4. SOUTH EAST",9065.64334198,3,162859.5,158187.1,2016,27196.93
10046,"1. URBAN","4. SOUTH EAST",9065.64334198,5,88291.73,88107.7,2016,45328.21
10047,"1. URBAN","4. SOUTH EAST",9065.64334198,6,73260.71,73260.71,2016,54393.86
10048,"1. URBAN","4. SOUTH EAST",9065.64334198,5,74981.43,74797.39,2016,45328.21
10049,"1. URBAN","4. SOUTH EAST",9065.64334198,1,155646.4,155646.4,2016,9065.644
10050,"1. URBAN","4. SOUTH EAST",9065.64334198,1,175982.1,175062,2016,9065.644
10051,"1. URBAN","4. SOUTH EAST",5439.386005188,4,95339.48,95339.48,2016,21757.54
10052,"1. URBAN","4. SOUTH EAST",5439.386005188,6,99351.63,98968.22,2016,32636.32
10053,"1. URBAN","4. SOUTH EAST",5439.386005188,2,91641.07,91641.07,2016,10878.77
10054,"1. URBAN","4. SOUTH EAST",5439.386005188,4,73325.89,73325.89,2016,21757.54
10055,"1. URBAN","4. SOUTH EAST",5439.386005188,5,61008.12,61008.12,2016,27196.93
10056,"1. URBAN","4. SOUTH EAST",5439.386005188,3,102615.1,102461.7,2016,16318.16
10057,"1. URBAN","4. SOUTH EAST",5439.386005188,6,56142.32,51797.08,2016,32636.32
10058,"1. URBAN","4. SOUTH EAST",5439.386005188,3,108105,107066.7,2016,16318.16
10059,"1. URBAN","4. SOUTH EAST",5439.386005188,2,95942.86,95712.81,2016,10878.77
10060,"1. URBAN","4. SOUTH EAST",5439.386005188,5,45937.86,45937.86,2016,27196.93
10061,"2. RURAL","4. SOUTH EAST",4759.4627545395,8,47162.3,35920.32,2016,38075.7
10062,"2. RURAL","4. SOUTH EAST",4759.4627545395,2,194642.5,112126.3,2016,9518.926
10063,"2. RURAL","4. SOUTH EAST",4759.4627545395,2,113823.1,84210.71,2016,9518.926
10064,"2. RURAL","4. SOUTH EAST",4759.4627545395,6,55149.17,36065.48,2016,28556.78
10065,"1. URBAN","4. SOUTH EAST",4759.4627545395,4,87208.38,81097.48,2016,19037.85
10066,"2. RURAL","4. SOUTH EAST",4759.4627545395,4,46250.5,39709.09,2016,19037.85
10067,"2. RURAL","4. SOUTH EAST",4759.4627545395,3,69587.45,55051.61,2016,14278.39
10068,"2. RURAL","4. SOUTH EAST",4759.4627545395,1,172474.5,143254.8,2016,4759.463
10069,"2. RURAL","4. SOUTH EAST",4759.4627545395,12,38868.52,33915.8,2016,57113.55
10070,"2. RURAL","4. SOUTH EAST",4759.4627545395,5,81347.96,67847.42,2016,23797.31
10071,"2. RURAL","4. SOUTH EAST",5892.668172287,4,60786.92,43278.57,2016,23570.67
10072,"2. RURAL","4. SOUTH EAST",5892.668172287,8,28687.15,24865.63,2016,47141.34
10073,"2. RURAL","4. SOUTH EAST",5892.668172287,2,141596.3,99436.43,2016,11785.34
10074,"2. RURAL","4. SOUTH EAST",5892.668172287,5,68140.03,48770.95,2016,29463.34
10075,"2. RURAL","4. SOUTH EAST",5892.668172287,3,91212.97,72557.58,2016,17678
10076,"2. RURAL","4. SOUTH EAST",5892.668172287,1,96565.39,80766.98,2016,5892.668
10077,"2. RURAL","4. SOUTH EAST",5892.668172287,1,312239.5,282230.3,2016,5892.668
10078,"2. RURAL","4. SOUTH EAST",5892.668172287,4,42735.08,23355.65,2016,23570.67
10079,"2. RURAL","4. SOUTH EAST",5892.668172287,2,102764.9,94018.17,2016,11785.34
10080,"2. RURAL","4. SOUTH EAST",5892.668172287,3,83565.78,37021.43,2016,17678
10081,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,122859.8,74848.65,2016,8310.173
10082,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,117323.1,67292.42,2016,8310.173
10083,"1. URBAN","4. SOUTH EAST",8310.1730634817,5,90964.48,90964.48,2016,41550.87
10084,"2. RURAL","4. SOUTH EAST",8310.1730634817,3,80821.43,80821.43,2016,24930.52
10085,"2. RURAL","4. SOUTH EAST",8310.1730634817,2,75999.73,45103.57,2016,16620.35
10086,"2. RURAL","4. SOUTH EAST",8310.1730634817,2,62171.23,51230.36,2016,16620.35
10087,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,88382.14,80039.29,2016,8310.173
10088,"2. RURAL","4. SOUTH EAST",8310.1730634817,4,109717.3,98767.27,2016,33240.69
10089,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,218652.4,193623.8,2016,8310.173
10091,"2. RURAL","4. SOUTH EAST",5036.4685233222,2,148260,105507.4,2016,10072.94
10092,"2. RURAL","4. SOUTH EAST",5036.4685233222,4,53381.25,50252.68,2016,20145.88
10093,"2. RURAL","4. SOUTH EAST",5036.4685233222,8,72346.05,51847.27,2016,40291.75
10094,"2. RURAL","4. SOUTH EAST",5036.4685233222,7,43145.87,38417.02,2016,35255.28
10096,"2. RURAL","4. SOUTH EAST",5036.4685233222,8,55605.86,38772.68,2016,40291.75
10097,"2. RURAL","4. SOUTH EAST",5036.4685233222,7,51427.81,36797.96,2016,35255.28
10098,"2. RURAL","4. SOUTH EAST",5036.4685233222,1,143392.9,143392.9,2016,5036.469
10099,"2. RURAL","4. SOUTH EAST",5036.4685233222,1,92119.05,51621.43,2016,5036.469
10100,"2. RURAL","4. SOUTH EAST",5036.4685233222,3,101501.9,49796.43,2016,15109.41
10102,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,166752,146260.7,2016,8310.173
10103,"2. RURAL","4. SOUTH EAST",8310.1730634817,7,48006.06,44617.2,2016,58171.21
10104,"2. RURAL","4. SOUTH EAST",8310.1730634817,2,127463.5,102842.8,2016,16620.35
10105,"2. RURAL","4. SOUTH EAST",8310.1730634817,4,53446.43,53446.43,2016,33240.69
10106,"2. RURAL","4. SOUTH EAST",8310.1730634817,6,163833.2,128213.5,2016,49861.04
10107,"2. RURAL","4. SOUTH EAST",8310.1730634817,3,119770.2,117671.3,2016,24930.52
10108,"2. RURAL","4. SOUTH EAST",8310.1730634817,1,236644.5,176483.8,2016,8310.173
10109,"2. RURAL","4. SOUTH EAST",8310.1730634817,9,79283.67,73478.27,2016,74791.55
10110,"2. RURAL","4. SOUTH EAST",8310.1730634817,3,138559.2,77397.38,2016,24930.52
20001,"2. RURAL","2. NORTH EAST",4230.0331873009,6,27604.23,17641.67,2016,25380.2
20002,"2. RURAL","2. NORTH EAST",4230.0331873009,2,74414.16,30503.57,2016,8460.066
20003,"2. RURAL","2. NORTH EAST",4230.0331873009,4,44433.77,33241.07,2016,16920.13
20004,"2. RURAL","2. NORTH EAST",4230.0331873009,12,25799.85,25799.85,2016,50760.4
20005,"2. RURAL","2. NORTH EAST",4230.0331873009,4,28189.84,11471.43,2016,16920.13
20006,"2. RURAL","2. NORTH EAST",4230.0331873009,11,22065.2,13740.47,2016,46530.36
20007,"2. RURAL","2. NORTH EAST",4230.0331873009,8,36051.64,20726.79,2016,33840.27
20008,"2. RURAL","2. NORTH EAST",4230.0331873009,6,44730.32,27809.52,2016,25380.2
20009,"2. RURAL","2. NORTH EAST",4230.0331873009,8,33741.75,28417.86,2016,33840.27
20010,"2. RURAL","2. NORTH EAST",4230.0331873009,4,32105.44,21117.86,2016,16920.13
20011,"2. RURAL","2. NORTH EAST",11020.349619547,8,331349.6,276357.1,2016,88162.8
20012,"2. RURAL","2. NORTH EAST",11020.349619547,8,16162.78,11732.14,2016,88162.8
20013,"2. RURAL","2. NORTH EAST",11020.349619547,9,24803.25,17926.88,2016,99183.15
20014,"2. RURAL","2. NORTH EAST",11020.349619547,11,21952.45,12609.09,2016,121223.8
20015,"2. RURAL","2. NORTH EAST",11020.349619547,8,48274.2,45820.54,2016,88162.8
20016,"2. RURAL","2. NORTH EAST",11020.349619547,4,50756.65,41196.59,2016,44081.4
20017,"2. RURAL","2. NORTH EAST",11020.349619547,10,33152.52,28245.19,2016,110203.5
20018,"2. RURAL","2. NORTH EAST",11020.349619547,7,40342.96,23166.33,2016,77142.45
20019,"2. RURAL","2. NORTH EAST",11020.349619547,4,46124.73,37375.25,2016,44081.4
20020,"2. RURAL","2. NORTH EAST",11020.349619547,13,48720.48,43716.58,2016,143264.5
20021,"2. RURAL","2. NORTH EAST",3562.1332103586,9,15695.68,5243.118,2016,32059.2
20022,"2. RURAL","2. NORTH EAST",3562.1332103586,5,39617.67,35529.51,2016,17810.67
20023,"2. RURAL","2. NORTH EAST",3562.1332103586,10,13352.98,4953.571,2016,35621.33
20024,"2. RURAL","2. NORTH EAST",3562.1332103586,3,55697.11,40671.43,2016,10686.4
20025,"2. RURAL","2. NORTH EAST",3562.1332103586,11,19641.05,4124.026,2016,39183.46
20026,"2. RURAL","2. NORTH EAST",3562.1332103586,7,15513.08,15513.08,2016,24934.93
20027,"2. RURAL","2. NORTH EAST",3562.1332103586,9,32247.97,32247.97,2016,32059.2
20028,"2. RURAL","2. NORTH EAST",3562.1332103586,10,53022.15,14391.43,2016,35621.33
20029,"2. RURAL","2. NORTH EAST",3562.1332103586,5,38192.97,35248.57,2016,17810.67
20030,"2. RURAL","2. NORTH EAST",3562.1332103586,8,16236.87,9646.429,2016,28497.07
20031,"2. RURAL","2. NORTH EAST",3586.8702465417,6,45451.19,45451.19,2016,21521.22
20032,"2. RURAL","2. NORTH EAST",3586.8702465417,9,56500.21,3476.19,2016,32281.83
20033,"2. RURAL","2. NORTH EAST",3586.8702465417,4,62532.32,59833.93,2016,14347.48
20034,"2. RURAL","2. NORTH EAST",3586.8702465417,14,39813.4,35422.23,2016,50216.18
20035,"2. RURAL","2. NORTH EAST",3586.8702465417,4,42887.5,42887.5,2016,14347.48
20036,"2. RURAL","2. NORTH EAST",3586.8702465417,7,27561.61,27561.61,2016,25108.09
20037,"2. RURAL","2. NORTH EAST",3586.8702465417,11,14805.69,6114.936,2016,39455.57
20038,"2. RURAL","2. NORTH EAST",3586.8702465417,6,21546.83,13383.33,2016,21521.22
20040,"2. RURAL","2. NORTH EAST",3586.8702465417,10,54385,47345.71,2016,35868.7
20041,"2. RURAL","2. NORTH EAST",4230.0331873009,3,87769.55,77118.49,2016,12690.1
20042,"2. RURAL","2. NORTH EAST",4230.0331873009,6,36366.99,21378.57,2016,25380.2
20043,"2. RURAL","2. NORTH EAST",4230.0331873009,6,28750.88,17902.38,2016,25380.2
20044,"2. RURAL","2. NORTH EAST",4230.0331873009,7,33047.01,21751.02,2016,29610.23
20045,"2. RURAL","2. NORTH EAST",4230.0331873009,5,37655.8,32297.51,2016,21150.17
20046,"2. RURAL","2. NORTH EAST",4230.0331873009,4,36812.96,12644.64,2016,16920.13
20047,"2. RURAL","2. NORTH EAST",4230.0331873009,11,24307.26,8864.285,2016,46530.36
20048,"2. RURAL","2. NORTH EAST",4230.0331873009,10,50384.64,24510.04,2016,42300.33
20049,"2. RURAL","2. NORTH EAST",4230.0331873009,15,17973.46,8968.571,2016,63450.5
20050,"2. RURAL","2. NORTH EAST",4230.0331873009,3,36740,25550,2016,12690.1
20051,"2. RURAL","2. NORTH EAST",4230.0331873009,14,34705.12,22682.14,2016,59220.46
20052,"2. RURAL","2. NORTH EAST",4230.0331873009,8,34878.59,26071.43,2016,33840.27
20053,"2. RURAL","2. NORTH EAST",4230.0331873009,6,26752.57,14339.29,2016,25380.2
20054,"2. RURAL","2. NORTH EAST",4230.0331873009,7,50687.09,21378.57,2016,29610.23
20055,"2. RURAL","2. NORTH EAST",4230.0331873009,8,31545.68,8538.393,2016,33840.27
20056,"2. RURAL","2. NORTH EAST",4230.0331873009,9,44610.33,36557.94,2016,38070.3
20057,"2. RURAL","2. NORTH EAST",4230.0331873009,2,45212.78,30503.57,2016,8460.066
20058,"2. RURAL","2. NORTH EAST",4230.0331873009,4,58324.25,48362.5,2016,16920.13
20059,"2. RURAL","2. NORTH EAST",4230.0331873009,13,39526.57,24547.25,2016,54990.43
20060,"2. RURAL","2. NORTH EAST",4230.0331873009,6,38796.14,33632.14,2016,25380.2
20061,"2. RURAL","2. NORTH EAST",3450.8165475349,6,46407.14,28070.24,2016,20704.9
20062,"2. RURAL","2. NORTH EAST",3450.8165475349,11,27825.33,12182.47,2016,37958.98
20063,"2. RURAL","2. NORTH EAST",3450.8165475349,9,48376.98,33023.81,2016,31057.35
20064,"2. RURAL","2. NORTH EAST",3450.8165475349,7,79967.83,24958.22,2016,24155.72
20065,"2. RURAL","2. NORTH EAST",3450.8165475349,8,45043.73,14600,2016,27606.53
20066,"2. RURAL","2. NORTH EAST",3450.8165475349,9,30764.29,11819.05,2016,31057.35
20067,"1. URBAN","2. NORTH EAST",3450.8165475349,1,411558.9,411558.9,2016,3450.817
20068,"2. RURAL","2. NORTH EAST",3450.8165475349,7,24283.67,3798.98,2016,24155.72
20069,"2. RURAL","2. NORTH EAST",3450.8165475349,9,38643.65,21378.57,2016,31057.35
20070,"2. RURAL","2. NORTH EAST",3450.8165475349,5,63510,20961.43,2016,17254.08
20071,"2. RURAL","2. NORTH EAST",6802.6849503376,26,26614.81,26614.81,2016,176869.8
20072,"2. RURAL","2. NORTH EAST",6802.6849503376,15,79493.34,32095.48,2016,102040.3
20073,"2. RURAL","2. NORTH EAST",6802.6849503376,10,41297.14,41297.14,2016,68026.85
20074,"2. RURAL","2. NORTH EAST",6802.6849503376,19,51686.69,32659.13,2016,129251
20075,"2. RURAL","2. NORTH EAST",6802.6849503376,30,28610.51,28610.51,2016,204080.5
20076,"2. RURAL","2. NORTH EAST",6802.6849503376,8,36239.29,36239.29,2016,54421.48
20077,"2. RURAL","2. NORTH EAST",6802.6849503376,10,139300.6,132025.7,2016,68026.85
20078,"2. RURAL","2. NORTH EAST",6802.6849503376,2,224475,224475,2016,13605.37
20080,"2. RURAL","2. NORTH EAST",6802.6849503376,2,99592.86,99592.86,2016,13605.37
20081,"1. URBAN","2. NORTH EAST",6345.0497809513,7,40070.9,25252.04,2016,44415.35
20082,"1. URBAN","2. NORTH EAST",6345.0497809513,9,53901.51,16571.92,2016,57105.45
20083,"1. URBAN","2. NORTH EAST",6345.0497809513,9,28300.63,16743.65,2016,57105.45
20084,"1. URBAN","2. NORTH EAST",6345.0497809513,1,220448.4,220448.4,2016,6345.05
20085,"1. URBAN","2. NORTH EAST",6345.0497809513,12,37797.52,19339.56,2016,76140.59
20086,"1. URBAN","2. NORTH EAST",6345.0497809513,11,43643.09,31238.31,2016,69795.55
20087,"1. URBAN","2. NORTH EAST",6345.0497809513,31,56837.98,56837.98,2016,196696.5
20088,"1. URBAN","2. NORTH EAST",6345.0497809513,8,32818.23,14602.34,2016,50760.4
20089,"1. URBAN","2. NORTH EAST",6345.0497809513,7,75933.8,47077.55,2016,44415.35
20090,"1. URBAN","2. NORTH EAST",6345.0497809513,7,38958.89,12514.29,2016,44415.35
20091,"2. RURAL","2. NORTH EAST",3116.8665590638,8,52694.65,16946.43,2016,24934.93
20092,"2. RURAL","2. NORTH EAST",3116.8665590638,9,31575.4,2317.46,2016,28051.8
20093,"2. RURAL","2. NORTH EAST",3116.8665590638,5,58422.89,36187.14,2016,15584.33
20094,"2. RURAL","2. NORTH EAST",3116.8665590638,3,228230.3,218755.1,2016,9350.6
20095,"2. RURAL","2. NORTH EAST",3116.8665590638,11,40078.71,17159.17,2016,34285.53
20096,"2. RURAL","2. NORTH EAST",3116.8665590638,9,29109.59,10138.89,2016,28051.8
20097,"2. RURAL","2. NORTH EAST",3116.8665590638,7,24581.63,24581.63,2016,21818.07
20098,"2. RURAL","2. NORTH EAST",3116.8665590638,7,58176.53,35233.67,2016,21818.07
20099,"2. RURAL","2. NORTH EAST",3116.8665590638,3,69697.62,50926.19,2016,9350.6
20100,"2. RURAL","2. NORTH EAST",3116.8665590638,10,65103.11,36120.58,2016,31168.67
20101,"2. RURAL","2. NORTH EAST",6060.5738648463,4,61528.57,33110.71,2016,24242.29
20102,"2. RURAL","2. NORTH EAST",6060.5738648463,15,65700,7821.429,2016,90908.61
20103,"2. RURAL","2. NORTH EAST",6060.5738648463,8,26346.45,7625.893,2016,48484.59
20104,"2. RURAL","2. NORTH EAST",6060.5738648463,8,42958.58,27287.97,2016,48484.59
20106,"2. RURAL","2. NORTH EAST",6060.5738648463,8,74238.4,22486.61,2016,48484.59
20107,"2. RURAL","2. NORTH EAST",6060.5738648463,6,49841.13,25482.96,2016,36363.44
20108,"2. RURAL","2. NORTH EAST",6060.5738648463,9,42293.66,5214.286,2016,54545.16
20110,"2. RURAL","2. NORTH EAST",6060.5738648463,8,24573.99,5998.1,2016,48484.59
20111,"2. RURAL","2. NORTH EAST",3339.4998847112,10,50844.19,15488.97,2016,33395
20112,"2. RURAL","2. NORTH EAST",3339.4998847112,2,111748.1,70914.29,2016,6679
20113,"2. RURAL","2. NORTH EAST",3339.4998847112,11,36025.97,11803.25,2016,36734.5
20114,"2. RURAL","2. NORTH EAST",3339.4998847112,8,24763.29,4953.571,2016,26716
20115,"2. RURAL","2. NORTH EAST",3339.4998847112,5,43189.86,16790,2016,16697.5
20116,"2. RURAL","2. NORTH EAST",3339.4998847112,8,41724.02,20270.54,2016,26716
20117,"2. RURAL","2. NORTH EAST",3339.4998847112,11,35196.56,21923.84,2016,36734.5
20118,"2. RURAL","2. NORTH EAST",3339.4998847112,6,35730.84,17467.86,2016,20037
20119,"2. RURAL","2. NORTH EAST",3339.4998847112,10,25441.99,10220,2016,33395
20120,"2. RURAL","2. NORTH EAST",3339.4998847112,8,26105.8,10754.46,2016,26716
30001,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,8,130855.6,130855.6,2016,32870.01
30002,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,5,154448.2,154448.2,2016,20543.76
30003,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,5,152186.6,131845.1,2016,20543.76
30004,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,5,118151.6,117217.1,2016,20543.76
30005,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,7,69647.96,69647.96,2016,28761.26
30006,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,5,151323.9,150281.1,2016,20543.76
30007,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,6,125783.3,99323.45,2016,24652.51
30008,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,6,187690.6,160681.2,2016,24652.51
30009,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,8,69172.1,54337.2,2016,32870.01
30010,"1. URBAN","5. SOUTH SOUTH",4108.7512658986,4,286848.7,281634.4,2016,16435.01
30011,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,6,110813.3,81824.8,2016,32283.04
30012,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,6,342494.1,284343.6,2016,32283.04
30013,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,3,122188.1,122188.1,2016,16141.52
30015,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,6,115508.2,100592.3,2016,32283.04
30016,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,8,76547.4,69107.5,2016,43044.06
30017,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,8,64733.18,64733.18,2016,43044.06
30018,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,1,60225,60225,2016,5380.508
30019,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,5,84080.36,84080.36,2016,26902.54
30020,"1. URBAN","5. SOUTH SOUTH",5380.5076101053,4,94310.02,82490,2016,21522.03
30021,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,7,176918.3,152275.9,2016,54440.95
30022,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,4,172827.5,168014.3,2016,31109.12
30023,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,6,134987,62073.77,2016,46663.68
30024,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,15,70802.84,39703.89,2016,116659.2
30025,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,4,107345.7,100309.8,2016,31109.12
30026,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,4,95625.9,95236.52,2016,31109.12
30027,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,5,206132.8,193618.5,2016,38886.39
30028,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,9,55070.44,41490.27,2016,69995.52
30029,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,5,62323.77,57280.56,2016,38886.39
30030,"2. RURAL","5. SOUTH SOUTH",7777.2791818795,8,80261.95,70551.29,2016,62218.23
30031,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,3,96656.38,70159.63,2016,15407.82
30032,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,7,55633.41,22749.18,2016,35951.57
30033,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,7,86218.3,50819.63,2016,35951.57
30034,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,3,172372.1,137496.8,2016,15407.82
30035,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,10,40143.31,33495.1,2016,51359.39
30036,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,7,36764.31,36442.51,2016,35951.57
30037,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,6,23856.05,21683.43,2016,30815.63
30038,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,4,9516.071,9516.071,2016,20543.76
30039,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,5,92420.53,61933.2,2016,25679.7
30040,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,6,82163.6,51025.84,2016,30815.63
30041,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,1,79902.25,58949.24,2016,5135.939
30042,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,6,60775.21,55608.89,2016,30815.63
30043,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,6,243711,63798.54,2016,30815.63
30044,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,4,116354.4,104948.2,2016,20543.76
30045,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,6,163537.6,130608.7,2016,30815.63
30046,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,2,202114.9,87678.38,2016,10271.88
30047,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,3,35541.49,29752.88,2016,15407.82
30048,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,3,103611.3,44610.75,2016,15407.82
30049,"1. URBAN","5. SOUTH SOUTH",5135.9390823732,8,192431,166679.9,2016,41087.51
30050,"2. RURAL","5. SOUTH SOUTH",5135.9390823732,1,264595.1,149880.8,2016,5135.939
30051,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,2,193288.9,177208.3,2016,7630.538
30052,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,1,198406.5,106277.6,2016,3815.269
30053,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,1,254165.7,232265.7,2016,3815.269
30054,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,7,121133.4,95990.94,2016,26706.88
30055,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,3,127530.1,77087.49,2016,11445.81
30056,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,7,75727.41,60705.12,2016,26706.88
30057,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,3,153687,36588.29,2016,11445.81
30058,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,2,102200.5,73213.79,2016,7630.538
30059,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,4,100965.8,22030.36,2016,15261.08
30060,"2. RURAL","5. SOUTH SOUTH",3815.2690326201,4,78943.44,47190.33,2016,15261.08
30061,"2. RURAL","5. SOUTH SOUTH",12228.426386603,3,85496.13,64566.76,2016,36685.28
30062,"2. RURAL","5. SOUTH SOUTH",12228.426386603,3,239958.2,154056.5,2016,36685.28
