"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"10:17:38 2017-February-14","23.85","POOR","20.02632389","105.54675568","20.02637548","105.54578019","true","6.92","102.22","HARD-MEDIUM"
"10:17:50 2017-February-14","31.54","POOR","20.02637548","105.54578019","20.02643089","105.54477336","true","6.33","105.52","HARD-MEDIUM"
"10:18:02 2017-February-14","31.24","POOR","20.02643089","105.54477336","20.0264795","105.54380349","true","6.67","101.62","HARD-MEDIUM"
"10:18:15 2017-February-14","27.33","POOR","20.0264795","105.54380349","20.02651039","105.54283479","true","7.24","101.41","HARD-MEDIUM"
"10:18:25 2017-February-14","38.3","POOR","20.02651039","105.54283479","20.02656701","105.54181748","true","6.28","106.63","HARD-MEDIUM"
"10:18:35 2017-February-14","38.49","FAIR","20.02656701","105.54181748","20.02658918","105.54081006","true","5.99","105.43","HARD-MEDIUM"
"10:18:46 2017-February-14","34.86","POOR","20.02658918","105.54081006","20.02666525","105.53977615","true","7.04","108.5","HARD-MEDIUM"
"10:18:55 2017-February-14","40.32","POOR","20.02666525","105.53977615","20.02671084","105.53881894","true","7.99","100.28","HARD-MEDIUM"
"10:19:29 2017-February-14","27.68","POOR","20.02677362","105.53789341","20.02681457","105.53688523","true","6.34","105.58","HARD-MEDIUM"
"10:19:41 2017-February-14","31.81","POOR","20.02681457","105.53688523","20.02680145","105.53587991","true","6.43","105.2","HARD-MEDIUM"
"10:19:52 2017-February-14","34.29","POOR","20.02680145","105.53587991","20.02694705","105.53488456","true","6.9","105.38","HARD-MEDIUM"
"10:20:02 2017-February-14","36.26","POOR","20.02694705","105.53488456","20.02719062","105.53395241","true","7.38","101.19","HARD-MEDIUM"
"10:20:13 2017-February-14","35.05","POOR","20.02719062","105.53395241","20.02728073","105.53292252","true","8.14","108.22","HARD-MEDIUM"
"10:20:24 2017-February-14","35.13","POOR","20.02728073","105.53292252","20.02713593","105.53191703","true","7.67","106.42","HARD-MEDIUM"
"10:20:36 2017-February-14","33.11","POOR","20.02713593","105.53191703","20.0274922","105.53097448","true","7.16","106.21","HARD-MEDIUM"
"10:20:47 2017-February-14","34.91","POOR","20.0274922","105.53097448","20.02794935","105.53007158","true","7.92","107.17","HARD-MEDIUM"
"10:20:58 2017-February-14","34.4","POOR","20.02794935","105.53007158","20.02831225","105.52912225","true","7.63","107.15","HARD-MEDIUM"
"10:21:10 2017-February-14","32.26","POOR","20.02831225","105.52912225","20.02838429","105.52812832","true","8.88","104.3","HARD-MEDIUM"
"10:21:21 2017-February-14","33.98","POOR","20.02838429","105.52812832","20.02822952","105.52711814","true","8.27","107.08","HARD-MEDIUM"
"10:21:30 2017-February-14","40.86","POOR","20.02822952","105.52711814","20.02785518","105.52623519","true","6.72","101.25","HARD-MEDIUM"
"10:21:40 2017-February-14","38.83","POOR","20.02785518","105.52623519","20.0269325","105.525972","true","9.67","105.79","HARD-MEDIUM"
"10:21:53 2017-February-14","31.01","POOR","20.0269325","105.525972","20.02608832","105.52556422","true","8.79","102.73","HARD-MEDIUM"
"10:22:05 2017-February-14","31.04","POOR","20.02608832","105.52556422","20.02576247","105.5246469","true","8.5","102.53","HARD-MEDIUM"
"10:23:02 2017-February-14","20.56","POOR","20.02539912","105.52397459","20.02473548","105.52327512","true","8.19","103.7","HARD-MEDIUM"
"10:23:34 2017-February-14","24.44","POOR","20.02447426","105.52301067","20.02370187","105.52243148","true","7.14","104.8","HARD-MEDIUM"
"10:23:45 2017-February-14","31.7","POOR","20.02370187","105.52243148","20.02277814","105.52223383","true","7.53","104.33","HARD-MEDIUM"
"10:23:58 2017-February-14","32.35","POOR","20.02277814","105.52223383","20.02207494","105.52151886","true","6.5","107.97","HARD-MEDIUM"
